LotNumber,ParentLotNumber,UniqueIdentifier,HubCode,Title1,Title2,Title3,PostLotText,PreLotText,Description,Provenance,Literature,Exhibited,PropertyOf,ConditionReport,LocationAndCollection,TaxesAndOtherCharges,ShippingAndDelivery,PaymentInformation,LotClosingInformation,NoteToBuyer,LotEssay,LotNotes,AdditionalChargeDetails,EstimateLowerLimit,EstimateHigherLimit,ShippingBand,Images,MainImage,VideoImages,VideoLinks,MainVideo,RotateableImageUri,Auctiontype,IsFeatured,StartDate,EndDate,StartingBidAmount,Reserve,Height,Width,RelativeSizeImage,PackageHeight,PackageWidth,PackageDepth,PackageWeight,CountryOfOrigin,DateOfManufacture,HsCode,TaxType,VendorType,FPSHammer,FPSTotalSalePrice,Category,ArtistsResaleRightsSet,RelatedLots,ShippingCostBasedOnQuantity,Quantity,UnitType,ShippingConsolidation,ShippingSurcharge,AvailableStartDate,AvailableEndDate,Hidden,Position,OfferStartDate,DisplayDate,ConsignorType,LiveAuctionLot,DutyCode,VolumeCount,EucrdApplicable,Material / Technique,Type,Artist / Maker
116,,23805.116,PAR,MONTURE CARTIER BROCHE DIAMANTS,,,,,"Old-cut diamonds, platinum and 18k yellow gold (French marks), signed Monture Cartier, numbered, Cartier case<br><br>Diamonds: with an approximate total weight of 4.00-4.50 carats<br><br>Size/Dimensions: 5.5 x 5.0 cm<br>Gross weight: 26.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains. Fitted with a double pinstem clipback.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.",,,,,,,,,,20000,40000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:55:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,brooch,Cartier
117,,23805.117,PAR,PAIRE DE BOUCLES D’OREILLES SAPHIRS ET DIAMANTS,,,,,"Oval sapphires, round brilliant, pear and marquise diamonds, platinum and 18k yellow and white gold (French marks) <br><br>SSEF, 2025, report n°.145975: approximately 12.30 x 9.90 x 7.00 mm and approximately 12.05 x 9.60 x 6.50 mm, Basaltic deposit, no indications of heating<br><br>Sapphires: with an approximate weight of 6.30-6.70 carats and 5.40-5.80 carats<br>Diamonds: with an approximate total weight of 2.30-2.70 carats<br><br>Size/Dimensions: 2.0 cm<br>Gross weight: 10.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. earrings fitted with clip backs for non-pierced ears.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets and at the girdle.<br>- Diamonds: on average H to I color, VS1 to VS2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,40000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:56:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,earrings,
118,,23805.118,PAR,"NO RESERVE - PAIRE DE BOUCLES D'OREILLES TURQUOISES, SAPHIRS ET DIAMANTS",,,• This lot is offered without reserve. <br>• Lot proposé sans prix de réserve.,,"Round turquoise cabochons, round sapphires, round diamonds, 18k yellow gold (French marks), maker's marks (Péry & Fils), circa 1960<br><br>Sapphires: with an approximate total weight of 1.10-1.30 carat <br>Diamonds: with an approximate total weight of 2.40-2.60 carats<br><br>Size/Dimensions: 2.8 x 2.0 cm<br>Gross weight: 25.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with posts and clip backs for pierced ears. <br>- Additional marks: SGDG.<br>- Turquoises: in good condition, with minor cracks and chips at surface.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average H to I color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. <br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,6000,10000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:57:00,100,100,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,turquoise;diamond;sapphire,earrings,
119,,23805.119,PAR,CARTIER BAGUE TURQUOISES ET DIAMANTS,,,,,"Round turquoise cabochons, rectangular and round diamonds, platinum and 18k yellow gold (customs mark), signed Cartier Paris, circa 1960<br><br>Main diamond: with an approximate weight of 0.65-0.75 carat<br><br>Size/Dimensions: FR ring size: 50 / US ring size: 5<sup>1</sup>⁄<sub>4</sub><br>Gross weight: 10.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Turquoises: in good condition, with minor cracks and chips at surface.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average H to I color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. One diamond with a significant crack along one edge.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:58:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,turquoise;diamond;sapphire,ring,Cartier
120,,23805.120,PAR,BAGUE SAPHIR ET DIAMANTS,,,,,"Oval sapphire of 12.71 carats, round brilliant-cut diamond, 18k white gold (customs mark) <br><br>Gübelin, 2025, report n°.25010061: 12.71 carats, Burma (Myanmar), no indications of heating<br><br>Diamonds: with an approximate total weight of 2.50-2.90 carats<br><br>Size/Dimensions: FR ring size: 56 / US ring size: 7<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 9.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Sapphire: with typical inclusions, cracks and chips at the junction of the table's facets and at the girdle.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,60000,80000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:59:00,60000,60000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Organization,FALSE,,,TRUE,sapphire;diamond;gold,ring,
121,,23805.121,PAR,"BOUCHERON PARURE CRISTAL DE ROCHE, ONYX ET DIAMANTS",,,,,"Comprising a bracelet, an unsigned ring and a pair of earrings<br><br>Gadrooned rock crystal, onyx, round brilliant-cut diamonds, platinum and 18k yellow gold (French marks), bracelet and earrings signed Boucheron Paris, bracelet and ring with maker’s marks (André Vassort), ring is numbered, Boucheron pouches for earrings and ring<br><br>Sapphires: with an approximate total weight of 30.00-35.00 carats<br><br>Size/Dimensions: bracelet 18.5 cm, FR ring size: 51/ US ring size: 5<sup>1</sup>⁄<sub>2</sub>, earrings 3.4 x 2.8 cm<br>Gross weight: 107.7 grams<br><br><b>Please note that ring is not signed Boucheron Paris.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, minor oxidation stains. Bracelet fitted with a concealed and secured clasp, earrings fitted with clip backs for non-pierced ears. Gross weight: 61.5 grams (bracelet), 17.5 gram (ring) and 28.7 grams (earrings).<br>- Rock crystal: cracks and chips at surface, including severe on the ring. Traces of old restorations, cracks with traces of glue, traces of yellow glue visible under the rock crystal.<br>- Onyx: in good condition, with some cracks at surface.<br>- Diamonds: with chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:00:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,rock crystal;coral,jewelry set,Boucheron
122,,23805.122,PAR,"COLLIER TRANSFORMABLE PERLES DE CULTURE, ÉMERAUDE, SAPHIR ET DIAMANTS",,,,,"Pendant is detachable<br><br>Round cultured pearl, rectangular step-cut emerald, rectangular and square sapphires, round brilliant-cut diamonds, 18k yellow gold (French customs mark) and 14k yellow gold<br><br>Gem Paris, 2025, report n°20251978250-3: Colombia, minor oil<br><br>Cultured pearls: measuring approximately 8.7 x 8.8 mm to 8.8 x 8.8 mm<br>Emerald: with an approximate weight of 9.80-10.20 carats<br><br>Size/Dimensions: 41.0 cm, pendant 4.0 cm<br>Gross weight: 62.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains. Fitted with a lobster clasp.<br>- Cultured pearls: of white to cream bodycolour, partly with rosé and green overtones, nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled.<br>- Emerald: with typical inclusions, minor chips at the junction of the table's facets.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VS1 to VS2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,35000,55000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:01:00,35000,35000,0,0,,,,,,Germany,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond;cultured pearl,necklace,
123,,23805.123,PAR,BOUCHERON BRACELET LIGNE RUBIS,,,,,"Square-cut rubies, 18k yellow gold (French mark), signed Boucheron, French maker’s mark (Atelier Joaillerie Vendome), numbered, Boucheron case<br><br>Gem Paris, 2025, report n°.20251978192-1 (2 rubies tested): Thailand, heated and heated with minor residues<br><br>Rubies: with an approximate total weight of 12.50-14.50 carats<br><br>Size/Dimensions: 17.0 cm<br>Gross weight: 19.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, minor oxidation stains. Fitted with a concealed and secured clasp with a security catch.<br>- Additional marks: OR 750.<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:02:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby,bracelet,Boucheron
124,,23805.124,PAR,BOUCHERON PAIRE DE BOUCLES D’OREILLES RUBIS ET DIAMANTS,,,,,"Oval rubies, marquise, pear and round brilliant-cut diamonds, platinum and 18k yellow and white gold (French marks), signed Boucheron Paris, Boucheron pouch<br><br>Gem Paris, 2025, report n°.20251978192-2 (4 rubies tested): Burma, non heated<br><br>Rubies: with an approximate weight of 6.00-8.00 carats<br>Diamonds: with an approximate total weight of 11.00-13.00 carats<br><br>Size/Dimensions: 3.2 x 3.0 cm<br>Gross weight: 20.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with clip backs for non-pierced ears. Please note that the pair of earrings is transformable, allowing for the addition of a suspended element, which is not included in the lot.<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VS1 to VS2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.<br>",,,,,,,,,,20000,40000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:03:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby;diamond;gold,earrings,Boucheron
125,,23805.125,PAR,VAN CLEEF & ARPELS MONTRE RÉTRO ‘CADENAS’,,,,,"Round diamonds, 18k yellow gold and platinum (French marks), case signed Van Cleef & Arpels, mechanical movement, circa 1940<br><br>Diamonds: with an approximate total weight of 1.20-1.50 carat<br><br>Size/Dimensions: inner continuous circumference of the bracelet 19.0 cm, dial 1.0 x 0.8 cm<br>Gross weight: 72.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with a concealed and secured clasp.<br>- Diamond: on average F to G color, VS1 to VS2 clarity. Colour has been gauged as far as the mounting permits. Minor chips at the table’s facets.<br>- Case: signed Van Cleef & Arpels, glass with minor scratches.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended.<br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,5000,7000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:04:00,5000,5000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond;platinum,wristwatch,Van Cleef & Arpels
126,,23805.126,PAR,VAN CLEEF & ARPELS SAUTOIR MALACHITE 'ALHAMBRA’,,,,,"Malachite quatrefoil panels, 18k yellow gold (French marks), signed VCA, maker's mark (Van Cleef & Arpels), numbered, Van Cleef & Arpels green fitted pouch<br><br>Size/Dimensions: 84.5 cm<br>Gross weight: 53.0 grams<br>",,"Cf. M. Petit, <i>Van Cleef & Arpels, Reflets d'éternité</i>, Paris, Editions Cercle d'Art, 2005, plate 16 for a similar necklace",,,- Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Fitted with a bolt ring clasp.<br>-Additional marks: Au750.<br>-Malachite: in good condition with some scratches to the surfaces.<br>-Please refer to the Conditions of Sale for further information regarding coloured stones.,,,,,,,,,,10000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:05:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,malachite;gold,necklace,Van Cleef & Arpels
127,,23805.127,PAR,"CARTIER BROCHE RUBIS, ÉMERAUDES ET DIAMANTS",,,,,"Carved rubies, emerald round cabochons, round and rectangular diamonds, 18k yellow and white gold (French marks), signed Cartier, maker’s mark (Charles Holl), numbered, circa 1940<br><br>Size/Dimensions: 7.5 x 5.1 cm<br>Gross weight: 25.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a double pinstem clipback. A gold petal is missing.<br>- Ruby: with typical inclusions, minor chips at surface.<br>- Emeralds: with typical inclusions, minor chips at surface.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:06:00,18000,18000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby;emerald;diamond,brooch,Cartier
128,,23805.128,PAR,"TIFFANY & CO., SCHLUMBERGER BRACELET-MANCHETTE ÉMERAUDES, SAPHIRS ET DIAMANTS",,,,,"Round emeralds and sapphires, round brilliant-cut diamonds, 18k yellow gold (French customs mark), French maker's mark, signed Schlumberger and Tiffany & Co. Schlumberger <br><br>Emeralds: with an approximate total weight of 3.20-3.50 carats<br>Sapphires: with an approximate total weight of 5.30-5.70 carats<br>Diamonds: with an approximate total weight of 4.20-4.50 carats<br><br>Size/Dimensions: inner continuous circumference 16.5 cm<br>Gross weight: 82.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a concealed clasp.<br>- Additional marks: 750, French maker's mark unidentifiable and partially erased.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets.<br>- Sapphires: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,26000,40000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:07:00,26000,26000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;emerald;diamond,bracelet,"Schlumberger, Jean"
129,,23805.129,PAR,BAGUE DIAMANTS,,,,,"Brilliant-cut diamond of 4.34 carats and brilliant-cut diamonds, 18k yellow gold (French customs mark)<br><br>GIA, 2025, report n°.2235597611: 4.34 carats, F color, VVS2 clarity, no fluorescence<br><br>Remaining diamonds: with an approximate total weight of 1.40-1.60 carat<br><br>Size/Dimensions: FR ring size: 57 / US ring size: 8<br>Gross weight: 9.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.",,,,,,,,,,60000,90000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:08:00,60000,60000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,ring,
130,,23805.130,PAR,VAN CLEEF & ARPELS MÉDAILLE SIGNE DU ZODIAQUE SCORPION,,,,,"18k yellow gold (French mark), signed VCA, maker's marks (Georges Lenfant), numbered<br><br>Size/Dimensions: diameter 4.0 cm<br>Gross weight: 43.1 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear with minor abrasions, some minor traces of oxidation. Slightly blunted relief patterns due to rubbing. On the obverse: a pattern of a scorpio looking back; on the reverse: symbol of the astrological sign Scorpio surrounded by its dates (XXIV X, XXII XI).<br>- Additional marks: 750, ©71.",,,,,,,,,,5000,7000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:09:00,5000,5000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold,medal,Van Cleef & Arpels
131,,23805.131,PAR,CARTIER COLLIER OR 'GENTIANE',,,,,"18k yellow gold (French mark), signed Cartier, numbered, Cartier fitted case<br><br>Size/Dimensions: 42.0 cm<br>Gross weight: 85.8 grams<br>",,,,,- Overall condition: good. Shows normal signs of wear with minor abrasions. Fitted with a concealed and secured clasp with security catches.<br>- Additional marks: 750.,,,,,,,,,,10000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:10:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold,necklace,Cartier
132,,23805.132,PAR,VAN CLEEF & ARPELS DEMI-PARURE TURQUOISES ET DIAMANTS,,,,,"Comprising a pair of earrings and a brooch<br><br>Round and oval turquoise cabochons, round brilliant-cut diamonds, 18k yellow gold and platinum (French marks), brooch signed Van Cleef & Arpels and earrings signed V.C.A, maker's marks (André Vassort) on brooch and earrings, circa 1960<br><br>Size/Dimensions: brooch 5.4 x 4.3 cm, earrings 2.4 x 1.6 cm<br>Gross weight: 36.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Earrings fitted with clips for non-pierced ears, brooch fitted with a double pinstem clipback. Gross weight of each element: 15.1 grams (pair of earrings) and 21.1 grams (brooch).<br>- Turquoise: in good condition, some scratches at surface. The colour is not uniform and is not the same on each of the cabochons.<br>- Diamonds: on average E to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. Some diamonds deficient. <br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,15000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:11:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond;turquoise,jewelry set,Van Cleef & Arpels
133,,23805.133,PAR,PAIRE DE BOUCLES D’OREILLES DIAMANTS DE COULEUR ET DIAMANTS,,,,,"Pear brilliant-cut Fancy Deep Greenish Yellow diamond of 2.29 carats, pear-fancy-cut Fancy Deep Brownish Yellowish Orange diamond of 2.28 carats and round brilliant-cut diamonds, 18k yellow gold (customs marks)<br><br>GIA, 2025, report n°.2235597591: 2.29 carats, Fancy Deep Greenish Yellow color (treated color), SI1 clarity, faint fluorescence<br>GIA, 2025, report n°.2235597592: 2.28 carats, Fancy Deep Brownish Yellowish Orange color (treated color), VS2 clarity, faint fluorescence<br><br>Diamonds: with an approximate total weight of 4.50-5.00 carats<br><br>Size/Dimensions: 2.5 cm<br>Gross weight: 16.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with clip back for non-pierced ears. <br>- Coloured diamonds: with chips at the junction of the table's facets.<br>- Diamonds: on average G to I color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:12:00,20000,20000,0,0,,,,,,Monaco,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond;colored diamond,earrings,
134,,23805.134,PAR,VERDURA SAUTOIR OR,,,,,"18k twisted yellow gold (French customs mark), signed Verdura, circa 1970<br><br>Size/Dimensions: 97.0 cm<br>Gross weight: 209.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a concealed and secured clasp.<br>- Additional marks: 750.",,,,,,,,,,12000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:13:00,12000,12000,0,0,,,,,,USA,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold,necklace,Verdura
135,,23805.135,PAR,BAGUE DIAMANTS DE COULEUR ET DIAMANTS,,,,,"Round brilliant-cut coloured diamonds and diamonds, hammered 18k yellow and white gold (French customs mark)<br><br>Coloured diamonds: with an approximate weight of 1.90-2.10 carats, 0.65-0.75 carats, 0.65-0.75 carats, 0.65-0.75 carats, 0.65-0.75 carats, 0.65-0.75 carats<br><br>Size/Dimensions: FR ring size: 55 / US ring size: 7<br>Gross weight: 49.3 grams <br><br><b>Please note that the coloured diamonds have not been tested for natural colour.</b><br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold.<br>- Additional marks: 750, LU750.<br>-Coloured diamonds: with minor cracks at the tables facets.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:14:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,ring,
136,,23805.136,PAR,DAVID WEBB COLLIER ÉMAIL ET DIAMANTS 'CITY',,,,,"Brilliant-cut diamonds, black enamel,18k yellow gold (French customs mark) and platinum, signed David Webb, numbered<br><br>Size/Dimensions: 39.5 cm<br>Gross weight: 168.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with a concealed clasp.<br>- Additional marks: 18K, 900 PT, ©, ®.<br>- Enamel: in good condition, with minor scratches at surface.<br>- Diamonds: on average F to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:15:00,18000,18000,0,0,,,,,,USA,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,enamel;gold;diamond,necklace,"Webb, David"
137,,23805.137,PAR,BAGUE RUBIS ET DIAMANTS,,,,,"Oval ruby, baguette, tapered-baguette and round brilliant-cut diamonds, 18k yellow gold (French marks), maker’s mark (Dumont & Compagnie)<br><br>SSEF, 2025, report n°.145968: approximately 9.40 x 7.75 x 3.55 mm, Siam (Thailand), no indications of heating<br><br>Ruby: with an approximate weight of 1.90-2.10 carats<br>Diamonds: with an approximate total weight of 1.50-1.80 carat<br><br>Size/Dimensions: FR ring size: 51<sup>1</sup>⁄<sub>2</sub> / US ring size: 5<sup>3</sup>⁄<sub>4</sub><br>Gross weight: 9.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a U-shaped ring.<br>- Ruby: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,40000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:16:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby;diamond;gold,ring,
138,,23805.138,PAR,DAVID WEBB COLLIER DIAMANTS 'LAUREL LEAF',,,,,"Brilliant-cut diamonds,18k yellow gold (French customs marks) and platinum, signed David Webb, numbered, David Webb fitted pouch<br><br>Size/Dimensions: 39.0 cm<br>Gross weight: 263.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with a concealed clasp.<br>- Additional marks: 18K, 900 PT, ©, ®.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.",,,,,,,,,,25000,35000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:17:00,24000,24000,0,0,,,,,,USA,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,necklace,"Webb, David"
139,,23805.139,PAR,NO RESERVE - CARTIER MONTRE DE DAME OR 'COUGAR',,,<i><b>• This lot is offered without reserve. </b></i><i><br></i><b>• Lot proposé sans prix de réserve.</b>,,"Round sapphire cabochon, 18k yellow gold (Swiss mark), case and buckle signed Cartier, maker’s marks (Société Anonyme Cartier) on case and deployant clasp, quartz movement, case numbered<br><br>Size/Dimensions: case diameter 35 mm <br>Gross weight: 46.9 grams <br><br><b>This endangered species strap is shown for display purposes only and is not for sale.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a folding clasp.<br>- Glass: in good condition, very minor scratches at surface.<br>- Case: signed Cartier, Quartz, 18K, Swiss made, 18k gold (Swiss mark), maker's mark (Société Anonyme Cartier).<br>- Buckle: signed Cartier, Swiss Made, 750, 18k, maker's mark (Société Anonyme Cartier).<br>- Sapphire: with minor scratches and cracks at surface.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended.<br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,5000,7000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 10:18:00,100,100,0,0,,,,,,Switzerland,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;sapphire,wristwatch,Cartier
